hour_of_day,day_of_week,month,is_weekend,patient_age,patient_sex,imd_quintile,comorbidity_count,previous_ed_visits_12m,re_attendance_72h,arrival_mode,pre_alert_received,chief_complaint,triage_category,news2_score,nhs_trust,ics_region,trust_type,bed_occupancy_pct,beds_available,staff_ratio,daily_ed_attendance,shift_total_arrivals,shift_ambulance_arrivals,ambulance_handover_delay_min,handover_breach_gt30min,wait_time_to_assessment_min,boarding_delay_min,queue_length_estimate,capacity_pressure_index,patient_acuity_score,wait_equity_delta_min,deteriorated_in_ed,admitted,occ_x_triage,wait_per_staff,acuity_x_cpi,night_high_occ,ambul_handover_stress,is_winter
0.020804958,0.0042403336,0.091500506,0.013166194,0.045316406,-0.062911004,-0.058021955,0.2364078,0.016479986,0.002162471,0.21045311,0.0018129258,0.019057315,0.009266068,-0.041680068,0.17564014,0.04679211,-0.40150896,0.59850085,0.15828456,-0.3455445,-0.010765982,-0.104541086,-0.023353752,0.18804424,-0.1149044,-0.39194247,0.023146348,0.11115138,-0.032679867,0.2842904,0.05567899,0.0032925264,-0.072517574,-0.8259673,-0.08706255,0.20812571,0.00011443191,-0.0070134513,0.0
0.030411402,0.007213156,0.06441365,0.008529229,0.025954828,0.054197516,0.026526496,-0.13934802,0.010746967,0.003071919,-0.15058215,0.00087808724,0.04616236,-0.3361498,0.024611339,0.1749752,0.008380662,-0.43752426,0.38953874,-0.080010474,-0.36715636,0.04253677,-0.11177579,-0.079233974,-0.08740566,-0.115023494,-0.2958896,-0.48581782,-1.2779864,-0.07866021,-0.23244019,-0.043860897,0.0018957536,-0.15234463,0.0963349,-0.08980919,-0.4636926,5.815976e-05,-0.0027752083,0.0
0.015551964,-0.069622144,0.09213892,0.013882665,0.06017097,-0.04862751,0.021388302,0.0891275,0.017500272,0.0021936074,0.16908863,-0.00022227818,0.019103076,-0.0022242942,-0.048780803,0.049490858,0.08932661,-0.30042067,-0.6014281,-0.15905128,0.019390864,-0.023188988,0.05595119,0.0471311,-0.3267496,-0.084343135,-0.6805677,0.44968227,-0.15710226,-0.031722065,0.31078768,-0.041365888,0.0014192425,-0.053005718,-0.8612954,-0.18753245,0.29940066,0.00014365409,-0.0066754976,0.0
0.008075709,-0.034533966,-0.034843907,0.012356534,0.061977573,-0.094771124,-0.07896406,-0.10630666,0.008711659,0.0017672044,0.26190007,0.00041493797,0.03192814,-0.3515486,-0.011468496,0.018023359,-0.027329316,0.18734096,0.06275618,-0.27654415,-0.39979252,-0.0032113616,0.12374521,0.0057177255,-0.3047095,-0.08664843,-0.23708417,1.0070535,-0.55914533,-0.0071970946,-0.070511855,0.058896493,-0.20921567,-0.27911025,0.24769972,-0.044722132,0.023559239,6.586846e-05,-0.003628146,0.0
-0.095418565,-0.14130627,0.015292169,0.011136683,-0.092809536,0.048686396,0.032860897,-0.050362695,-0.0109855505,0.0017344286,0.21051522,0.0017934476,-0.019357288,-0.58060396,0.023463015,-0.4231023,0.15845427,0.099560685,0.0231973,0.10089725,-0.04874631,0.014412842,-0.18123735,-0.029764844,-0.3098397,-0.116297305,0.36644688,-0.7808242,-1.2724856,-0.18856671,-0.24060796,0.043829326,0.0009618811,-0.07035867,0.74345195,0.034351707,-0.3775744,0.00011443191,-0.0032933173,0.0
0.028209949,-0.0021246888,-0.006117129,0.012868569,0.010522531,0.015498462,-0.08476256,-0.10904155,-0.058350872,0.00189194,0.123664,0.0003390762,-0.26567677,0.046640225,0.017875485,0.031645462,-0.023636505,0.09876152,-0.43850803,-0.15475996,2.5603652,0.07659839,0.05063802,0.05306171,-0.5052841,-0.07729916,-0.67120403,-0.56311923,1.810736,1.2476456,-0.19720401,0.094855435,-0.00034226093,-0.1770082,-1.0190632,-0.105275795,0.28485426,5.815976e-05,-0.005036102,0.0
-0.0059222262,-0.1013643,-0.021828678,0.0076949205,0.026784657,-0.06439222,0.016804049,-0.11197086,0.005951671,0.0019643824,-0.19898923,0.00054629915,0.018017123,-0.17588203,0.029316917,0.17464493,0.018442178,-0.41812363,0.5397726,0.2162573,-0.008710308,0.007903001,0.1390627,0.04615549,0.16036913,-0.08689949,-0.023331404,0.002104994,1.7014745,-0.008201976,-0.2021673,-0.04564874,0.0028746447,-0.044934127,0.55183965,-0.06391204,-0.30334955,0.00011443191,-0.005354245,0.0
0.018782903,0.0064625163,0.025190165,0.012038588,-0.099069685,0.06946311,-0.02059758,0.094892584,-0.16356762,0.0028242231,0.139707,0.007996907,0.018060138,1.4201388,-0.03582442,-0.19968371,0.032410055,0.12559395,-0.21750827,-0.32565668,-0.3871878,-0.019319609,0.067472845,0.027457846,-0.31426558,-0.08243069,-0.7129771,0.13950728,-0.90985787,-0.05062297,0.44356284,0.04363249,0.0015737428,-0.19269152,-0.56652015,-0.14832357,0.4685871,5.815976e-05,-0.00846196,0.0
0.028333027,0.14098352,0.011953259,0.0035604446,0.059169885,-0.02606873,0.03709656,-0.0022018438,-0.0050635585,0.0005311391,-0.1235285,0.00019191267,0.042775795,-0.23058021,0.03228148,0.17549923,-0.029219775,-0.35693184,-0.25482404,0.17580388,-0.11053826,-0.009244981,0.10172619,0.03931526,-0.37047702,-0.09094906,1.1602497,-0.72704095,-0.33204126,-0.045410562,-0.18911986,-0.01363183,0.0031113636,-0.049660105,0.01545275,0.27183297,-0.2857457,0.00025415904,-0.004014133,0.0
0.034602474,-0.053960282,0.031107182,0.0075832875,-0.099593714,0.04367165,0.022799715,-0.07967724,0.0052839634,0.0021382598,-0.23488232,0.0013715408,0.041719392,0.07201613,-0.075101055,0.17726561,0.06688099,-0.3946148,0.104510635,0.2420142,-0.10784933,-0.047509648,0.08179793,0.13848405,-0.06473748,-0.08953768,-0.08383869,-0.36208296,1.2310183,-0.005673951,0.059104413,-0.041861087,0.0016359726,-0.06061492,-1.1662129,-0.08634588,0.027124142,0.00011443191,-0.003586255,0.0
